id,     name,                           size,       offset,     end,        privilege,              security, crc
0,      OTP_STARSUB_MEMCHECK,           44,         0x0,        0x2C,       OTP_READ_WRITE,         TRUE,    FALSE
1,      OTP_A35SUB_MEMCHECK,            240,        0x2C,       0x11C,      OTP_READ_WRITE,         TRUE,    FALSE
2,      OTP_PRI_CONFIG,                 4,          0x11C,      0x120,      OTP_READ_WRITE,         TRUE,    FALSE
3,      OTP_PRIVATE_KEY_1,              32,         0x120,      0x140,      OTP_READ_WRITE,         TRUE,    FALSE
4,      OTP_PRIVATE_KEY_2,              32,         0x140,      0x160,      OTP_READ_WRITE,         TRUE,    FALSE
5,      OTP_FLASH_AES_K2,               32,         0x160,      0x180,      OTP_READ_WRITE,         TRUE,    FALSE
6,      OTP_FLASH_AES_K1,               32,         0x180,      0x1A0,      OTP_READ_WRITE,         TRUE,    FALSE
7,      OTP_HW_RESERVED,                96,         0x1A0,      0x200,      OTP_READ_WRITE,         TRUE,    FALSE
8,      OTP_MODEL_ID,                   4,          0x200,      0x204,      OTP_READ_WRITE,         TRUE,    FALSE
9,      OTP_MODEL_KEY,                  16,         0x204,      0x214,      OTP_READ_WRITE,         TRUE,    FALSE
10,     OTP_TE200_DEVICE_ID,            4,          0x214,      0x218,      OTP_READ_WRITE,         TRUE,    FALSE
11,     OTP_DEVICE_ROOT_KEY,            16,         0x218,      0x228,      OTP_READ_WRITE,         TRUE,    FALSE
12,     OTP_BL1_BOOT_PUBLIC_KEY_HASH,   32,         0x228,      0x248,      OTP_READ_WRITE,         TRUE,    FALSE
13,     OTP_BL2_BOOT_PUBLIC_KEY_HASH,   32,         0x248,      0x268,      OTP_READ_WRITE,         TRUE,    FALSE
14,     OTP_LCS,                        4,          0x268,      0x26C,      OTP_READ_WRITE,         TRUE,    FALSE
15,     OTP_RESERVED_2_8,               16,         0x26C,      0x27C,      OTP_READ_WRITE,         TRUE,    FALSE
16,     OTP_LOCK_CONTROL,               4,          0x27C,      0x280,      OTP_READ_WRITE,         TRUE,    FALSE
17,     OTP_RESERVED_2_10,              8,          0x280,      0x288,      OTP_READ_WRITE,         TRUE,    FALSE
18,     OTP_BL2_SECURITY_COUNTER,       64,         0x288,      0x2C8,      OTP_READ_WRITE,         TRUE,    FALSE
19,     OTP_SECURE_DEBUG_OFFSET,        4,          0x2C8,      0x2CC,      OTP_READ_WRITE,         TRUE,    FALSE
20,     OTP_SECURE_DEBUG_PK_HASH,       32,         0x2CC,      0x2EC,      OTP_READ_WRITE,         TRUE,    FALSE
21,     OTP_RESERVED_2_14,              20,         0x2EC,      0x300,      OTP_READ_WRITE,         TRUE,    FALSE
22,     OTP_APP_SECURITY_COUNTER,       64,         0x300,      0x340,      OTP_READ_WRITE,         TRUE,    FALSE
23,     OTP_HUK,                        32,         0x340,      0x360,      OTP_READ_WRITE,         TRUE,    FALSE
24,     OTP_RESERVED_3_3,               160,        0x360,      0x400,      OTP_READ_WRITE,         TRUE,    FALSE
