id,     name,                           size,       offset,        end,           privilege,             security,     crc
0,      OTP_PHY_PWR1,                   48,         0x0,           0x30,        OTP_READ_WRITE,           FALSE,      FALSE,
1,      OTP_PHY_PWR2,                   48,         0x30,          0x60,        OTP_READ_WRITE,           FALSE,      FALSE,
2,      OTP_RFCALI1,                    256,        0x60,          0x160,       OTP_READ_WRITE,           FALSE,      FALSE,
3,      OTP_RFCALI2,                    256,        0x160,         0x260,       OTP_READ_WRITE,           FALSE,      FALSE,
4,      OTP_RFCALI3,                    256,        0x260,         0x360,       OTP_READ_WRITE,           FALSE,      FALSE,
5,      OTP_RFCALI4,                    256,        0x360,         0x460,       OTP_READ_WRITE,           FALSE,      FALSE,
6,      OTP_MAC_ADDRESS_1,              8,          0x460,         0x468,       OTP_READ_WRITE,           FALSE,      FALSE,
7,      OTP_MAC_ADDRESS_2,              8,          0x468,         0x470,       OTP_READ_WRITE,           FALSE,      FALSE,
8,      OTP_MAC_ADDRESS_3,              8,          0x470,         0x478,       OTP_READ_WRITE,           FALSE,      FALSE,
9,      OTP_MAC_ADDRESS_4,              8,          0x478,         0x480,       OTP_READ_WRITE,           FALSE,      FALSE,
10,     OTP_RESERVED_4_1,               116,        0x480,         0x4F4,       OTP_READ_WRITE,           FALSE,      FALSE,
11,     OTP_RSSI,                       60,         0x4F4,         0x530,       OTP_READ_WRITE,           FALSE,      FALSE,
12,     OTP_GADC_CALIBRATION_BACKUP,    72,         0x530,         0x578,       OTP_READ_WRITE,           FALSE,      FALSE,
13,     OTP_GADC_TEMPERATURE_BACKUP,    8,          0x578,         0x580,       OTP_READ_WRITE,           FALSE,      FALSE,
14,     OTP_VDDDIG_BANDGAP_BACKUP,      4,          0x580,         0x584,       OTP_READ_WRITE,           FALSE,      FALSE,
15,     OTP_DIA_BACKUP,                 4,          0x584,         0x588,       OTP_READ_WRITE,           FALSE,      FALSE,
16,     OTP_FACTORY_ID,                 4,          0x588,         0x58C,       OTP_READ_WRITE,           FALSE,      FALSE,
17,     OTP_PRODUCT_ID,                 16,         0x58C,         0x59C,       OTP_READ_WRITE,           FALSE,      FALSE,
18,     OTP_GADC_CALIBRATION,           72,         0x59C,         0x5E4,       OTP_READ_WRITE,           FALSE,      FALSE,
19,     OTP_GADC_TEMPERATURE,           8,          0x5E4,         0x5EC,       OTP_READ_WRITE,           FALSE,      FALSE,
20,     OTP_VDDDIG_BANDGAP,             4,          0x5EC,         0x5F0,       OTP_READ_WRITE,           FALSE,      FALSE,
21,     OTP_DIA,                        4,          0x5F0,         0x5F4,       OTP_READ_WRITE,           FALSE,      FALSE,
22,     OTP_MEMORY_CHECK_VDDDIG,        4,          0x5F4,         0x5F8,       OTP_READ_WRITE,           FALSE,      FALSE,
23,     OTP_DEVICE_ID,                  8,          0x5F8,         0x600,       OTP_READ_WRITE,           FALSE,      FALSE,
24,     OTP_RANDOM_KEY1,                32,         0x600,         0x620,       OTP_READ_WRITE,           TRUE,       FALSE,
25,     OTP_RANDOM_KEY2,                32,         0x620,         0x640,       OTP_READ_WRITE,           TRUE,       FALSE,
26,     OTP_RESERVED_5_3,               448,        0x640,         0x800,       OTP_READ_WRITE,           TRUE,       FALSE,
27,     OTP_EK2,                        16,         0x800,         0x810,       OTP_READ_WRITE,           TRUE,       FALSE,
28,     OTP_EK3,                        16,         0x810,         0x820,       OTP_READ_WRITE,           TRUE,       FALSE,
29,     OTP_EK1,                        32,         0x820,         0x840,       OTP_READ_WRITE,           TRUE,       FALSE,
30,     OTP_EK11,                       32,         0x840,         0x860,       OTP_READ_WRITE,           TRUE,       FALSE,
31,     OTP_EK12,                       32,         0x860,         0x880,       OTP_READ_WRITE,           TRUE,       FALSE,
32,     OTP_EK13,                       32,         0x880,         0x8A0,       OTP_READ_WRITE,           TRUE,       FALSE,
33,     OTP_EK14,                       32,         0x8A0,         0x8C0,       OTP_READ_WRITE,           TRUE,       FALSE,
34,     OTP_EK15,                       32,         0x8C0,         0x8E0,       OTP_READ_WRITE,           TRUE,       FALSE,
35,     OTP_EK1X,                       32,         0x8E0,         0x900,       OTP_READ_WRITE,           TRUE,       FALSE,
36,     OTP_CK1,                        8,          0x900,         0x908,       OTP_READ_WRITE,           FALSE,      FALSE,
37,     OTP_CK2,                        256,        0x908,         0xA08,       OTP_READ_WRITE,           FALSE,      FALSE,
38,     OTP_RESERVED_5_15,              504,        0xA08,         0xC00,       OTP_READ_WRITE,           TRUE,       FALSE,
