Device,Reg,Bit
AON,0x7,8
SYS,0x7,9
FLASH,0x7,10
TIMER0,0x7,21
UART0,0x7,22
CKMN,0x7,23
I2C3,0x7,24
EFS,0x7,25
SPI0,0x7,26
MCHECK,0x7,27
PPRO_MPC,0x7,28
MBOX_AHB,0x8,4
HSPL,0x8,5
DMA0,0x8,6
XDAC0,0x8,11
XDAC1,0x8,12
TIMER1,0x9,15
UART3,0x9,16
UART1,0x9,17
UART2,0x9,18
I2C0,0x9,19
SPI3,0x9,20
SPI1,0x9,21
SPI2,0x9,22
SADC,0x9,23
PWM0,0x9,24
I3C,0x9,25
TIMER2,0x9,26
TIMER3,0x9,27
UART4,0x9,28
IPI,0x9,29
LA,0xa,4
CAN,0xa,5
CAN1,0xa,6
SCR,0xa,15
LIN,0xa,16
IRDA,0xa,17
IRDA1,0xa,18
IRDA2,0xa,19
IRDA3,0xa,20
AUD,0xb,2
SPDIF,0xb,13
SPDIF1,0xb,14
I2S0,0xb,15
I2S1,0xb,16
I2S2,0xb,17
I2S3,0xb,18
I2S4,0xb,19
CEC,0xb,20
BTDM,0xc,3
BK24,0xc,4
XVR,0xc,8
MAC,0xc,12
MOD,0xc,13
THREAD,0xc,16
RC,0xc,20
CHK,0xc,24
