Device,Reg,Bit
REG,0x7,0
RTC,0x7,1
GPIOHIG,0x7,2
AON_WDT,0x7,3
AON,0x7,4
SYS,0x7,5
FLASH,0x7,6
TIMER0,0x7,13
UART0,0x7,14
CKMN,0x7,15
I2C3,0x7,16
EFS,0x7,17
SPI0,0x7,18
MCHECK,0x7,19
PPRO_MPC,0x7,20
MBOX_AHB,0x8,0
HSPL,0x8,1
DMA0,0x8,2
XDAC0,0x8,9
XDAC1,0x8,10
TIMER1,0x9,0
UART3,0x9,1
UART1,0x9,2
UART2,0x9,3
I2C0,0x9,4
SPI3,0x9,5
SPI1,0x9,6
SPI2,0x9,7
SADC,0x9,8
PWM0,0x9,9
I3C,0x9,10
TIMER2,0x9,11
TIMER3,0x9,12
UART4,0x9,13
IPI,0x9,14
LA,0xa,0
CAN,0xa,1
CAN1,0xa,2
SCR,0xa,9
LIN,0xa,10
IRDA,0xa,11
IRDA1,0xa,12
IRDA2,0xa,13
IRDA3,0xa,14
AUD,0xb,0
SPDIF,0xb,5
SPDIF1,0xb,6
I2S0,0xb,7
I2S1,0xb,8
I2S2,0xb,9
I2S3,0xb,10
I2S4,0xb,11
CEC,0xb,12
BTDM,0xc,0
BK24,0xc,1
XVR,0xc,7
MAC,0xc,10
MOD,0xc,11
THREAD,0xc,15
RC,0xc,18
CHK,0xc,23
