flash_id,sr_size,protect_all,protect_none,name
0x1C7016,1,0x1F,0x00,en_25qh32b
0x1C7015,1,0x1F,0x00,en_25qh32b
0x0B4014,2,0x1F,0x00,xtx_25f08b
0x0B4015,2,0x1F,0x00,xtx_25f16b
0x0B4016,2,0x1F,0x00,xtx_25f32b
0x0E4016,2,0x1F,0x00,xtx_FT25H32
0x204016,2,0x1F,0x00,xmc_25qh32b
0xC22315,1,0x0F,0x00,mx_25v16b
0xEF4016,2,0x1F,0x00,w_25q32b
0xEF4017,2,0x1F,0x00,w_25q64b
0x856016,2,0x1F,0x00,py_25q32h
0x204016,2,0x1F,0x00,py_25q32h
0x0B4017,2,0x05,0x00,xtx_25f64b
0xEB6015,2,0x1F,0x00,zg_th25q16b
0x1C4116,1,0x1F,0x00,en_25qe32a
0x0B6018,1,0x0F,0x00,xt_25q128d
0xC86516,1,0x1F,0x00,gd_25wq32e
0xC86515,2,0x1F,0x00,gd_25w16e
0xC86018,1,0x0F,0x00,gd_25lq128e
0xC84016,1,0x1F,0x00,gd_25q32c
0xC84015,2,0x1F,0x00,gd_25q16c
0x5E5018,1,0x0F,0x00,zb_25lq128c
0xC86517,2,0x1F,0x00,GD_25WQ64E
0xCD6017,1,0x1F,0x00,th_25q64ha
0x852018,1,0x1F,0x00,py_25q129ha
0xCD6016,2,0x1F,0x00,th_25q32ha
0x000000,1,0x00,0x00,default
